movie_id,title,release_year,duration_minutes,language_id,budget,revenue
1,Conference,1997,167,9,104930312,610282848
2,Fill agent,1991,176,7,8909690,373880688
3,Likely unit,2007,156,3,149965396,1158470362
4,Industry particular,2005,180,9,76213962,14296292
5,Next a,2004,90,10,61554395,216925960
6,Shake outside lead necessary,1998,147,1,41723855,464594539
7,Research staff word,1996,137,3,92747521,1087751103
8,Summer view,1995,147,4,106453954,1024443788
9,Happy suggest,2017,170,4,177343777,791973358
10,East sister mother,1992,126,1,37845633,1270685137
11,Game wide save,1991,89,4,24567294,402554583
12,Study or pick still,1995,152,1,196928265,949175178
13,Above tough cup,2003,94,8,103597942,1451385421
14,Public line my,2004,87,1,140779131,235477621
15,Little phone hotel teacher,2022,150,6,182997868,393369265
16,Brother,1991,144,4,165402862,766975172
17,From although leader,2002,105,5,168912981,820217123
18,Compare pressure,2016,153,6,185287198,915730305
19,Catch parent phone try,2004,148,8,62049732,465149917
20,Heavy here share quickly,2018,99,9,113027064,1109345616
21,Line music position,2007,101,7,65521363,493668956
22,Whom economic,1990,121,2,154786284,880267030
23,Light either behind,2000,146,1,42003289,247333814
24,Rise garden,2017,136,4,115478324,679911753
25,Sign until,2011,94,6,84854609,270462056
26,While newspaper one,2007,167,8,163502473,1005516272
27,Just tonight agreement,1999,106,10,89391699,241902156
28,Person,2003,171,8,121572935,1121106494
29,Control area,2011,154,3,146554765,296869584
30,Station much,1996,142,8,36372312,1069756786
31,Green expert conference,1995,91,10,56500982,780779447
32,Western go size admit,2014,145,9,176146792,624057823
33,International move break,1996,137,6,38198853,1201432120
34,Hotel effect,2012,87,6,156969241,92206226
35,Explain study,2012,138,3,146318561,181626116
36,History account,2006,96,5,184622907,709622479
37,Away,1992,145,2,55307238,1065240170
38,Among affect million,2019,133,5,38073525,253512402
39,In meet manager,1997,138,1,83946124,831311160
40,Because,2014,152,7,185826425,614050943
41,Democratic security edge check,1995,87,1,190283606,986283559
42,Dinner room trial,2008,151,3,141607963,1294326648
43,Field condition clear,2013,139,10,37306565,675029742
44,Administration,2002,166,4,116444504,1480421247
45,Least may,1994,119,4,39964049,958387969
46,Free individual,1992,172,4,177155868,490059493
47,Change hard world,2004,82,4,152624232,1194525325
48,Least ever west,2008,130,5,43425664,879631905
49,Feeling price thank,1995,112,7,86227240,629035808
50,Admit agreement nearly laugh,2004,80,9,19203692,924040684
51,Mr white career,1996,175,1,150609897,410412661
52,Involve wind,2014,107,1,144065774,154484522
53,Road control for,2007,154,8,194123341,1026508141
54,He seem,2019,89,3,32779347,1463422945
55,Future decision month,2013,85,3,50428420,794074384
56,The else,2000,134,10,86254453,390037997
57,Treat at,2013,124,1,40063487,32457389
58,Son service,2012,169,4,196173926,1452745240
59,Section magazine,2003,88,5,8914375,1060806843
60,Day democratic,2007,149,10,86547008,1448314051
61,Garden possible,1994,87,5,112143056,230854904
62,Hand become red,2000,88,5,111394554,856197574
63,Like only,2005,140,7,82429387,945723145
64,Story institution,2000,84,7,119918110,1127408898
65,Suggest increase necessary,2019,116,6,171952420,1419221624
66,Develop spend,2014,132,8,199196531,1457812775
67,Start decade agreement there,2007,103,5,74496598,187548811
68,Threat,2004,178,4,41790660,261018368
69,Cover public network,2010,97,8,51448043,312879495
70,She sister trial type,1993,178,5,29661238,852851159
71,Happy agent,2004,162,9,36311579,865334105
72,Example own above,1992,173,10,50592510,1497580841
73,Live sure,2010,162,7,8032530,1273211999
74,Word,2015,133,10,165277559,223446656
75,Speak exactly,2007,127,2,166610317,367330350
76,Effect gas actually,1994,128,1,72635386,143964558
77,Camera,2003,137,9,163565722,786061251
78,Peace check clear,2010,128,6,153214471,432534760
79,Candidate international drug car,2003,128,9,165379679,732205929
80,Build model about,2021,90,10,62984792,435062581
81,Suddenly defense peace,2015,167,10,161084354,1282668651
82,Certain appear,2019,164,5,63326025,873204089
83,Picture best,1999,149,5,62985068,268629748
84,Employee have clear,2006,97,2,185516597,505083737
85,Time success,1998,163,8,8002002,917045334
86,Voice manager,2005,124,2,97438481,1076830801
87,Upon,2006,95,6,22334022,603113556
88,Skin now whole,2017,102,5,185721518,1254660726
89,Oil center,2015,148,6,128936934,1279853610
90,Spring artist civil,2013,130,5,36993604,591204603
91,This wife morning,2004,147,5,135841728,1387616919
92,Contain listen eight along,1998,96,5,163326076,864499249
93,Indeed authority arrive,2022,173,4,126832743,769713149
94,During,2021,108,3,192131179,1026829159
95,Natural agree,1995,80,9,175367230,1436677976
96,Property wait statement,1993,176,4,101383962,1300287894
97,Democratic,1997,82,1,50385809,873536009
98,Once investment run,1999,118,10,105008078,1045526387
99,Program natural begin,2000,139,7,132921423,1103254305
100,Report east ball sea,2017,166,6,128197315,603913076
101,Believe there,1994,172,3,37913291,321483457
102,Appear daughter arrive,2014,149,1,44966070,981320674
103,Little,2014,134,8,52877791,237006984
104,Traditional benefit piece,2019,148,5,61739712,267401153
105,Political first entire,2023,128,5,9651555,543352372
106,Good real step,2006,109,7,110679816,1055852612
