rating_id,movie_id,user_id,rating_value,rating_date
1,502,977,5.0,2022-11-28
2,851,681,5.3,2025-05-01
3,538,241,8.6,2023-08-16
4,1003,996,6.4,2023-02-18
5,328,906,6.3,2025-08-05
6,418,90,5.8,2025-06-09
7,1470,691,6.0,2025-04-18
8,1133,790,6.3,2025-07-08
9,949,244,6.7,2022-10-16
10,707,981,6.9,2023-08-04
11,50,335,5.4,2025-01-29
12,1091,310,8.5,2025-03-11
13,339,704,5.4,2024-12-21
14,1571,656,9.8,2023-07-21
15,966,616,5.8,2024-12-24
16,828,709,5.5,2023-08-20
17,1063,20,5.6,2025-08-03
18,1447,116,8.4,2024-10-28
19,179,290,8.8,2023-04-23
20,1363,368,5.8,2023-09-05
21,934,794,3.4,2022-10-23
22,363,580,7.4,2025-08-09
23,1612,626,5.9,2024-10-06
24,371,429,8.8,2024-03-31
25,1843,461,8.2,2024-01-23
26,717,28,7.4,2023-10-16
27,984,390,9.9,2023-07-19
28,951,614,7.7,2025-09-13
29,658,184,6.9,2025-10-03
30,534,66,2.2,2024-08-15
31,1530,632,7.7,2024-10-23
32,1994,349,5.0,2023-05-17
33,744,840,6.3,2024-11-21
34,1152,552,2.7,2025-02-26
35,1286,450,7.8,2023-07-10
36,545,195,7.4,2024-02-26
37,991,3,5.4,2023-05-04
38,278,377,7.2,2024-12-30
39,777,265,6.6,2023-03-02
40,317,622,7.3,2024-03-29
41,1767,544,6.4,2024-01-20
42,1170,167,5.0,2023-05-24
43,1930,982,8.3,2023-02-19
44,67,279,6.3,2024-06-16
45,667,238,8.1,2023-09-20
46,292,575,5.6,2023-03-07
47,1267,935,9.1,2023-04-14
48,185,525,4.3,2025-06-15
49,1047,761,3.9,2025-04-19
50,1673,795,6.5,2025-08-10
51,1589,285,5.7,2024-10-09
52,1751,675,5.1,2022-12-24
53,1372,806,5.9,2025-10-05
54,1520,252,6.2,2024-05-27
55,929,832,5.5,2025-06-26
56,784,56,5.7,2023-11-15
57,1843,715,6.4,2025-03-27
58,1347,151,7.0,2024-07-03
59,1135,802,6.4,2022-11-03
60,494,893,7.6,2024-12-07
61,1495,711,4.6,2025-08-15
62,210,695,7.9,2023-08-31
63,804,842,7.8,2023-01-09
64,109,759,6.7,2023-09-29
65,1126,78,7.3,2025-02-18
66,1780,478,1.6,2023-07-18
67,373,743,6.8,2023-02-08
68,1472,552,7.6,2025-08-05
69,901,115,6.5,2023-04-05
70,1967,425,5.8,2024-03-17
71,248,483,7.8,2024-02-05
72,1322,515,8.7,2025-03-28
73,961,881,5.7,2024-10-15
74,360,950,5.5,2024-06-08
75,130,6,8.6,2023-12-14
76,937,396,4.6,2024-12-20
77,1408,650,3.5,2023-10-21
78,441,386,8.6,2025-10-11
79,407,977,8.6,2025-03-18
80,908,657,6.0,2024-10-08
81,1613,278,8.1,2022-10-24
82,1469,680,7.3,2025-03-11
83,1492,228,7.0,2025-02-11
84,445,695,6.2,2024-10-07
85,1897,117,7.2,2023-06-16
86,1157,352,5.3,2025-06-05
87,1343,905,5.2,2023-02-12
88,1194,661,7.4,2024-01-20
89,1980,541,8.7,2025-03-31
90,382,594,6.1,2022-11-07
91,1960,885,8.3,2024-02-29
92,1716,774,6.8,2023-07-20
93,1897,777,3.8,2023-11-25
94,60,925,6.4,2025-06-13
95,668,944,6.8,2023-10-20
96,373,54,8.0,2024-12-01
97,354,106,5.0,2025-04-08
98,318,389,5.6,2023-06-05
99,1181,667,6.3,2023-07-03
100,1957,872,6.4,2023-11-03
101,1161,259,7.5,2024-04-02
102,1863,904,7.7,2023-02-27
103,1260,791,8.2,2025-07-06
104,439,595,5.2,2024-07-07
105,1518,944,6.9,2023-06-23
106,844,741,8.0,2025-03-09
107,1806,674,6.6,2023-10-15
108,351,146,6.7,2025-09-05
109,1957,923,7.4,2023-05-08
110,207,871,6.0,2025-03-07
111,1501,670,6.2,2024-12-21
112,875,524,6.2,2025-04-25
113,1638,96,4.9,2025-02-03
114,670,337,7.0,2023-11-16
115,1347,2,5.7,2024-03-20
116,1749,205,4.3,2025-04-27
117,1199,963,6.1,2023-02-27
118,155,460,6.0,2024-03-20
119,1312,794,6.6,2023-12-08
120,621,48,6.4,2025-01-03
121,484,118,8.2,2024-04-06
122,1133,488,9.0,2024-09-19
123,1128,56,9.2,2023-07-29
124,295,960,6.7,2023-12-03
125,485,614,5.9,2025-04-24
126,1837,160,7.2,2024-12-21
127,342,423,9.9,2024-08-30
128,666,646,5.0,2024-09-12
129,1338,306,6.8,2024-09-12
130,745,44,8.7,2024-01-25
131,1439,457,7.8,2025-08-07
132,1975,901,5.6,2023-10-01
133,501,50,5.1,2022-11-16
134,1617,209,8.5,2022-12-27
135,1183,32,4.8,2024-05-15
136,1753,526,7.9,2025-02-06
137,1832,645,4.0,2023-03-24
138,1107,553,5.9,2022-11-29
139,417,33,6.5,2024-08-22
140,656,531,4.8,2024-02-29
141,1139,656,5.9,2025-09-03
142,1925,920,4.7,2024-11-07
143,631,887,6.4,2024-01-28
144,547,985,6.9,2025-07-20
145,856,880,5.3,2023-09-19
146,251,68,7.1,2024-03-18
147,1002,466,8.7,2025-07-10
148,1485,164,7.3,2023-01-17
149,1321,412,4.8,2024-04-23
150,949,154,6.9,2024-09-08
151,1510,542,5.4,2023-12-21
152,1524,170,6.0,2024-04-08
153,1808,616,10.0,2024-10-28
154,1010,969,6.5,2023-03-15
155,449,425,5.2,2025-03-17
156,331,564,6.9,2022-11-05
157,1656,179,8.0,2025-03-27
158,806,667,6.5,2023-12-16
159,594,892,7.3,2025-09-26
160,507,789,7.6,2025-01-20
161,1930,304,7.8,2024-06-20
162,41,853,5.6,2025-07-18
163,1170,307,6.7,2024-04-04
164,682,863,9.4,2025-09-24
165,535,540,6.4,2025-09-01
166,1773,335,4.6,2023-05-07
167,520,771,6.5,2023-04-03
168,1183,970,8.1,2024-12-26
169,1661,31,5.7,2022-12-29
170,1952,677,4.6,2023-12-08
171,1588,872,4.4,2023-04-21
172,1021,20,8.3,2024-08-19
173,1252,469,5.3,2023-05-22
174,1466,151,6.0,2024-01-14
175,1485,529,8.6,2024-07-30
176,239,520,6.3,2023-11-17
177,370,676,5.9,2025-09-01
178,1830,594,5.5,2023-10-18
179,916,990,7.1,2023-03-02
180,1237,348,6.8,2024-07-08
181,1690,975,7.4,2023-04-13
182,1737,579,5.5,2024-01-16
183,1763,189,8.1,2025-08-24
184,1193,657,7.2,2024-12-25
185,899,663,6.3,2023-01-30
186,6,479,8.2,2023-06-07
187,383,647,6.2,2025-02-19
188,1170,283,8.7,2023-07-25
189,358,91,8.3,2024-02-04
190,902,78,7.2,2025-03-13
191,144,430,6.6,2024-04-02
192,332,553,7.3,2023-12-23
193,114,3,5.7,2025-06-11
194,679,434,4.7,2023-03-26
195,505,960,10.0,2022-10-24
196,1366,607,8.9,2023-07-09
197,1846,702,7.0,2022-10-23
198,1221,116,6.9,2022-12-20
199,960,737,9.0,2023-04-12
200,1556,615,3.0,2024-10-04
201,1080,906,8.6,2023-10-20
202,1866,916,7.7,2025-04-25
203,1020,395,8.4,2023-08-25
204,1473,880,7.5,2023-04-19
205,231,113,5.9,2022-12-02
206,439,176,3.9,2023-04-08
207,1005,820,7.0,2025-09-24
208,1450,484,6.7,2024-11-01
209,1834,416,6.9,2023-07-18
210,1675,402,7.4,2023-10-13
211,670,136,8.5,2024-06-02
212,284,16,6.8,2024-06-18
213,1187,571,5.6,2023-08-07
214,1949,34,5.8,2023-05-07
215,1144,544,8.2,2024-09-10
216,1938,137,9.6,2025-01-18
217,1874,861,6.2,2023-06-16
218,1063,18,7.6,2023-08-16
219,498,246,3.5,2024-05-02
220,268,640,4.3,2025-09-12
221,306,123,4.3,2023-12-09
222,58,468,7.8,2024-01-31
